RESPNR	HHNR	HHPNR	INSTRU	INT000	INT001	INT004	INT044	INT071	INT087	INT229	INT239	INT264	INT265	INT265A	INT266	INT266A	INT267	INT268	INT270	INT271	INT272	INT276	INT278	INT279	INT281	INT282	INT283	INT284	INT285	INT286	INT287	INT289	INT291	INT292	INT293	INT295	INT296	INT300	INT301	INT303	INT305	INT307	INT309	INT311	INT313	INT314	INT315	INT318	INT319	INT320	INT321	INT322	INT323	INT600	INT601	INT602	INT603	INT604	INT605	INT606	INT607	INT608	INT609	INT610	INT611	INT612	INT613	INT614	INT615	INT616	INT617	INT618	INT619	INT620	INT621	INT622	INT623	INT624	INT625	V040	V041	V049	V065	V200	V201	V202	VAR0000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR040	VAR043	VAR064	VAR065	VAR096	VAR100	VAR101	VAR103	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR131	VAR132	VAR133	VAR134	VAR135	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR179	VAR180	VAR181	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR221	VAR229	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR319	VAR320	VAR346	VAR351	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR461	VAR462	VAR491	VAR493	VAR497	VAR499	VAR515	VAR516	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR608	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR634	VAR635	VAR636	VAR683B	VAR684	VAR687	VAR688	VAR723	VAR728B	VAR729B	VAR768	VAR848	VAR849	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900J	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR951	VAR952	VAR953	VAR1031	VAR1033	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1050	VAR1052	VAR1061	VAR1062	VAR1076	VAR1077	VAR1103	VAR1104	VAR1105X	VAR1106	VAR1140	VAR1141	VAR1142	VAR1143	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1146	VAR1161	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1163	VAR1227	VAR1228	VAR1229	VAR1230	VAR3000	ISCO
11	11	1	1	1	18	0	2	3	4	5	2	4	1	1	2	2	2	3	5	4	4	4	3	2	2	3	2	2	2	4	4	1	4	3	3	4	1	3	2	2	3	3	4	3	1	2	1	3	1	2	1	2	4	2	3	4	4	4	1	3	1	2	2	2	4	4	4	2	4	3	3	2	4	2	2	2	1	4	4	1	-5	2	2	3	1	1		1	35	1	5	5	3	3	2	2	3	3	2	4	2	3	4	4	2	-3	2	1	1	1	2	1	3	2	3	2	3	3	-3	3	2	4	4	2	1	1	1	2	1	1	1	8	3	3	3	3	3	2	1	5	2	2	1	5	5	2	2	3	1	1	3	3	1	1	5	4	1	4	5	5	4	4	2	16	2	1	3	4	2	2	1	2	-5	1	2	1	2	2	-5	1	1	1	1	2	3	1	-3	3	2	5	2	2	4	4	14	26	5	4	5	226	26	15	14	4	6	1	3	3	2	1	1	1	36	3	3	3	2	2	1.2	26	10	1	3	2	3	2	5431002	3	2	2125	2005	3	2	1	3	6		1	35	2	34											2	7	1	5	1	2					1	3	3	2	4	3	8	9	5	15	16	6	13	7	4	2	11	14	12	1	10	4	2	2	0	1	2	1	3	4	2	3	1	3	3	4	5	6	5	5	5	4	7	6	6	6	5	4	3	4	3	2	2	3	3	3	3	2	2	2	2	3	3	2	3	2	2	2	66304	2140
12	12	1	1	1	16	0	2	4	3	3	4	4	2	2	3	1	2	4	4	2	4	2	2	2	4	2	2	3	3	4	3	1	2	4	4	4	2	3	3	3	4	3	2	2	2	2	2	4	2	2	2	2	4	3	3	4	4	2	2	2	1	2	2	4	3	2	4	3	4	3	3	2	3	2	3	2	2	2	4	1	-5	2	1	4	1	1		2	32	5	6	5	2	1	2	2	2	2	2	3	2	2	1	4	1	2	2	2	2	2	2	1	3	2	3	3	3	2	3	3	1	4	4	2	1	1	1	2	1	1	2	1	5	-5	5	2	2	1	3	-5	1	1	1	3	2	3	1	3	1	1	1	3	3	1	2	2	5	4	2	2	5	4	3	15	4	2	3	1	1	2	2	2	-5	2	-5	1	2	3	3	1	2	1	1	2	2	2	3	2	2	4	2	2	2	4	15	30	5	5	6	241	40	15	14	4	11	1	1	3	3	4	1	2	32	3	3	2	1	2	0.44	16	10	1	2	2	2	2	5510001	3	3	1127	1043	4	1	1	2	6		1	36	2	32																					2	1	3	1	4	5	7	12	3	13	16	6	15	1	4	10	14	11	9	2	8	2	1	0	2	3	2	2	2	4	4	2	2	2	3	6	7	7	6	6	5	5	6	6	5	6	6	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	49208	3231
13	13	1	1	1	14	0	2	5	3	1	4	4	2	2	1	1	2	4	5	5	2	4	4	2	4	2	2	2	2	5	4	-3	1	3	2	4	2	2	2	2	2	2	2	1	2	2	1	4	2	2	1	2	4	2	4	2	4	2	2	3	3	3	2	3	4	1	4	3	3	3	3	3	2	4	2	2	2	4	4	1	-5	2	1	3	2	1		2	26	5	5	6	2	1	1	2	2	2	1	1	1	1	5	3	1	2	1	1	1	2	2	1	2	2	3	2	3	2	2	3	1	5	3	3	1	1	2	2	1	1	1	1	5	-5	3	3	3	1	1	2	1	2	1	5	2	2	2	3	1	3	1	3	1	1	5	5	4	3	4	5	5	5	3	15	2	2	3	1	2	3	1	2	-5	1	2	1	2	3	3	1	2	1	1	1	1	1	1	2	2	5	2	2	2	4	15	30	5	5	6	241	40	15	14	4	11	1	3	3	3	4	1	1	38	3	3	3	1	5	0.52	17	10	1	3	2	3	1	5510001	2	3	1124	1032	4	1	1	2	6		1	26	2	26																					1	2	3	3	2	7	1	13	8	14	16	12	15	3	4	11	10	6	5	2	9	2	3	0	0	2	2	1	2	4	2	2	2	5	3	4	6	7	5	6	4	4	7	6	6	6	5	4	2	2	3	2	2	3	2	3	3	2	3	2	2	2	3	2	3	4	4	4	51506	4115
14	14	1	1	1	15	0	2	2	4	3	3	3	2	1	1	2	2	4	4	4	4	4	3	2	3	2	2	-3	3	3	4	1	1	2	2	2	2	3	2	3	3	2	3	3	2	2	2	2	2	1	1	2	4	3	3	3	4	4	1	-3	2	1	3	3	3	2	4	3	4	4	3	3	2	2	4	3	2	4	4	1	-5	1	2	2	2	1		1	43	1	4	6	2	1	2	2	-3	4	2	-3	1	2	4	2	4	-3	1	2	1	1	1	2	2	2	3	2	2	2	3	3	1	5	5	1	1	1	1	1	1	1	2	1	5	-5	3	-3	-3	2	2	5	1	1	1	4	2	3	1	2	1	3	1	3	1	3	2	2	4	4	4	5	5	4	2	15	4	2	3	1	3	-5	2	1	1	2	-5	1	1	2	-5	2	-5	2	2	3	3	1	3	3	2	5	2	1	2	4	15	30	5	5	6	241	40	15	14	4	11	-3	1	3	2	1	1	2	40	1	3	3	1	5	1.12	6	10	1	2	2	4	2	5510001	3	3	1936	1824	4	2	1	1	6		1	43	2	34											2	9	2	6							2	2	3	1	5	2	5	11	8	10	16	9	14	12	3	7	1	13	6	4	15	4	2	0	0	2	2	2	4	4	2	2	1	1	3	4	6	7	7	5	5	6	8	5	5	6	5	6	4	3	3	2	2	3	3	3	2	2	3	3	2	1	1	4	2	2	2	2	52101	3119
15	15	1	1	1	21	7	2	3	2	3	4	-3	2	2	4	4	2	3	4	4	4	4	-3	4	4	2	2	2	3	5	2	2	2	3	3	4	3	3	2	1	3	2	2	4	-3	2	1	3	1	2	1	2	4	2	2	4	4	3	2	-3	1	-3	2	4	4	2	4	2	3	3	2	2	2	3	2	3	2	1	2	1	-5	2	1	4	1	1		2	28	5	7	5	2	3	2	2	2	2	1	3	2	1	2	2	4	1	2	2	2	2	2	2	2	1	-3	2	3	-3	-3	3	1	4	5	2	1	1	1	1	1	1	2	1	4	-5	8	2	3	2	1	5	2	2	2	4	5	3	2	2	1	1	1	3	1	3	3	4	2	4	4	4	2	5	2	14	2	2	3	1	1	2	1	2	-5	1	2	1	2	2	-5	1	3	1	1	1	1	1	2	-3	1	3	2	2	3	4	15	30	5	5	6	241	40	15	14	4	11	1	1	3	3	4	2	-5	30	3	3	2	1	2	0.45	9	10	1	3	2	3	1	5510001	3	3	1913	1828	2	1	1	1	6		1	28	2	28																					2	3	3	2	3	15	5	13	2	14	16	9	12	11	10	1	8	6	4	3	7	3	2	0	0	1	2	1	2	3	1	2	2	4	2	5	5	6	7	7	7	6	8	6	6	7	7	6	2	2	3	3	2	2	2	2	3	2	3	2	2	2	3	2	2	3	3	2	89207	2221
16	16	1	1	1	12	0	2	4	5	6	2	2	3	3	1	-6	2	3	2	2	3	2	2	2	3	3	2	-3	3	2	2	-6	-6	-6	-6	-6	-6	-6	-6	3	-6	-6	3	2	2	1	1	2	2	2	1	2	4	2	1	2	1	3	1	2	2	2	2	3	3	1	1	-6	-6	-6	-6	-6	2	2	3	2	3	2	2	1	-5	1	2	1	3	1		1	46	1	2	8	2	1	2	1	1	4	1	1	2	2	4	3	2	1	1	1	1	1	1	2	3	2	3	3	3	-3	3	3	1	4	4	2	2	2	1	2	2	1	2	2	4	1	3	3	3	2	1	-3	1	1	1	1	1	3	1	2	1	3	3	3	1	3	3	2	5	2	4	2	2	4	3	17	4	2	3	1	1	2	1	2	-5	2	-5	1	1	2	-5	2	-5	1	1	3	1	1	3	3	2	1	2	2	1	4	15	30	5	5	6	241	40	15	14	4	11	1	1	3	3	1	1	1	60	3	3	2	1	5	0.43	13	10	1	3	2	1	2	5510001	3	3	1352	1309	2	2	2	2	4		1	46	2	45	1	22	1	20	1	17															2	2	3	2	4	6	7	1	15	5	16	10	12	3	9	14	11	2	8	4	13	2	2	0	0	2	3	2	2	2	2	2	1	2	1	3	5	5	6	6	4	4	3	7	5	6	7	6	2	3	3	2	2	3	3	3	3	3	2	3	2	2	3	3	2	2	3	1	28209	8324
17	17	1	1	1	17	0	3	5	4	6	5	4	1	4	4	1	4	4	4	4	4	4	3	2	3	3	2	2	2	4	3	4	2	2	2	-6	2	3	2	2	3	3	3	1	2	2	1	2	2	1	1	2	2	2	4	4	4	2	2	2	1	2	2	5	4	3	4	2	2	2	2	2	4	3	3	4	2	4	2	1	-5	2	1	3	1	1		2	34	1	7	5	1	1	1	2	1	3	2	2	2	1	1	3	2	1	2	2	2	-3	2	1	2	-3	1	2	3	3	3	3	2	3	3	3	1	1	1	2	2	2	2	2	3	3	2	3	3	3	1	10	2	2	2	3	4	2	2	1	1	3	3	3	1	1	3	4	4	4	3	4	5	4	3	-2	2	2	2	1	1	2	2	2	-5	1	2	-3	-5	1	2	1	2	1	1	1	1	1	-3	3	1	4	2	1	4	2	20	35	6	2		307	43	17	16	2	99	1	3	1	3	1	1	1	18	3	3	2	3	4	0.35	7	11	1	3	1	1	2	6211011	3	2	1652	1617	1	1	1	2	6		1	43	2	37											2	6									3	2	3	2	4	3	12	13	4	10	16	11	15	7	5	2	1	9	6	8	14	2	3	3	4	1	2	3	3	3	2	1	1	3	1	6	7	7	6	6	5	6	8	8	7	7	7	6	2	3	3	2	3	3	3	2	2	2	2	2	2	2	3	2	3	2	3	2	0	0
18	18	1	1	1	13	0	2	1	5	6	4	5	4	4	1	1	2	4	4	4	4	4	4	5	2	2	2	2	2	4	2	2	4	-3	-3	4	2	2	2	3	2	2	2	2	2	2	1	3	1	2	1	2	2	3	4	4	4	-3	2	3	1	2	2	4	4	3	4	2	2	2	2	2	2	2	2	4	1	4	2	2	1	1	1	2	2	5		2	33	1	4	6	1	2	1	2	2	3	2	2	2	2	4	4	4	1	1	2	1	1	2	2	4	1	2	2	3	2	-3	3	1	4	3	3	1	1	1	2	1	1	4	4	3	3	3	3	3	3	1	2	2	2	2	4	5	2	1	3	1	1	3	3	2	1	5	4	2	2	5	3	2	5	2	14	3	2	3	1	2	2	1	2	-5	1	2	1	2	1	2	1	2	2	2	2	2	2	4	2	2	4	2	2	2	2	20	35	6	2		307	43	17	16	2	99	1	3	1	3	2	1	1	-5	3	3	3	2	4	1.1	9	11	1	3	2	3	2	6211011	4	2	1457	1347	1	1	1	3	6		1	37	2	33																					1	3	3	2	4	2	13	16	1	9	11	12	15	8	4	7	5	14	3	10	6	4	2	1	0	3	2	1	2	4	1	2	1	4	3	4	7	6	5	7	5	7	8	6	7	7	6	7	2	2	3	2	2	3	2	3	2	2	3	2	2	2	1	2	3	4	3	3	31509	4190
19	19	1	1	1	19	7	2	4	2	2	2	2	2	4	4	2	4	4	4	5	2	4	5	2	2	3	2	-3	2	4	2	1	1	4	4	4	1	3	3	3	4	2	2	2	2	2	1	2	1	1	1	2	3	4	2	4	4	4	3	2	1	1	2	4	2	3	4	3	3	2	3	2	3	4	3	2	2	4	4	1	-5	1	1	2	2	1		1	42	1	6	5	1	1	2	2	2	2	2	2	3	1	4	2	1	1	2	2	2	2	2	3	3	1	3	2	3	2	-3	3	1	4	4	3	1	1	1	1	1	1	2	1	5	-5	4	4	4	1	1	5	1	1	1	4	5	2	1	2	1	3	1	3	3	3	5	5	4	4	5	5	2	5	2	13	1	2	3	5	1	1	1	1	2	2	-5	1	2	2	-5	1	2	1	1	1	1	1	2	2	2	2	2	2	5	2	20	35	6	2		307	43	17	16	2	99	1	1	3	3	3	2	-5	32	3	3	1	5	2	0.49	1	11	1	3	2	5	2	6211011	4	3	2039	1950	1	2	1	3	6		1	42	2	39											1	6									1	3	2	3	2	11	6	10	7	15	16	4	14	1	12	5	13	9	2	3	8	4	2	0	0	2	2	1	2	2	1	2	2	4	2	4	4	6	4	3	7	7	7	2	5	5	6	5	3	2	3	3	2	3	3	2	2	2	3	3	2	2	3	3	3	4	4	4	57210	3231
20	20	1	1	1	25	3	-6	5	1	1	4	-6	4	4	2	2	-6	-6	4	4	3	4	4	3	3	4	2	2	3	4	2	1	2	3	3	4	1	2	2	2	3	2	2	2	2	2	2	5	1	1	1	1	3	3	4	4	4	2	3	2	2	1	2	4	4	1	4	1	4	1	3	3	2	4	5	2	1	4	4	1	-5	1	1	4	1	1		2	43	5	7	5	1	3	2	2	2	3	2	2	2	1	4	3	1	1	1	1	1	1	2	1	3	2	3	3	3	3	3	3	1	1	5	1	1	1	1	1	1	1	1	1	5	-5	3	2	2	1	1	-3	2	1	2	4	5	-3	1	1	1	1	1	3	1	1	3	5	5	2	5	5	5	4	1	12	1	1	3	1	1	1	1	2	-5	2	-5	2	-5	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	5	2	20	35	6	2		307	43	17	16	2	99	1	1	1	3	7	1	1	50	3	3	1	5	2	1.2	24	10	1	2	2	1	2	6211011	5	3	2045	1925	3	1	1	3	6				2	43																					2	2	3	2	5	16	2	13	1	12	15	3	9	4	11	14	7	5	6	10	8	4	4	0	7	1	2	-3	1	-3	1	2	1	4	3	1	2	-3	3	5	6	5	6	5	5	5	5	3	4	2	3	3	-3	3	3	2	3	2	3	3	3	3	3	4	2	3	4	4	0	0
21	21	1	1	1	15	0	2	2	1	3	4	4	3	-3	1	4	3	4	3	4	4	3	4	2	3	3	2	-3	2	3	2	-3	-3	-3	-3	-3	-3	3	3	-3	-3	-3	3	3	2	2	2	4	2	2	2	2	1	3	2	2	4	-3	3	2	-3	1	2	2	4	-3	3	3	3	3	3	3	3	4	2	2	2	2	3	2	1	1	1	1	2	6		1	43	5	4	6	1	2	1	-3	2	2	3	4	4	3	4	4	2	1	1	1	1	2	2	2	-3	1	2	2	2	3	-3	3	2	4	3	3	2	-3	1	1	1	1	3	3	3	1	3	3	3	3	1	-3	-3	2	2	4	4	2	-3	-3	2	1	3	3	2	1	5	3	5	2	4	5	4	-3	3	8	2	2	3	4	2	2	1	2	-5	2	-5	2	-5	1	3	1	3	-3	-3	3	3	2	4	3	2	4	2	2	-3	2	20	35	6	2		307	43	17	16	2	99	1	3	1	3	7	1	2	-5	3	3	2	2	3	0.54	16	10	1	3	1	1	2	6211011	2	2	1059	1005	1	2	1	2	6		1	43																							2	3	3	1	4	3	11	9	4	12	7	13	10	1	8	14	15	16	5	2	6	4	2	1	1	3	2	3	3	3	2	1	1	3	3	5	7	7	7	7	5	6	6	7	7	6	1	6	2	2	3	2	2	2	2	3	2	2	2	2	3	3	3	-3	3	3	3	3	51505	4131
22	22	1	1	1	8	0	2	-3	5	5	2	2	1	1	2	4	3	3	2	2	1	2	1	3	1	3	2	5	3	2	2	1	-3	3	2	2	2	2	2	3	3	3	3	3	1	2	2	4	2	2	2	2	4	1	2	4	2	-3	3	2	1	1	1	2	2	3	4	3	4	2	2	-3	2	2	2	3	2	3	4	2	1	2	2	1	2	5		2	51	1	1	8	3	1	-3	2	1	2	2	2	1	2	1	4	2	3	2	1	1	2	2	2	2	1	-3	-3	3	-3	-3	-3	1	4	4	-3	1	1	1	2	2	2	2	1	5	-5	2	3	3	3	3	-5	2	1	1	1	1	2	2	2	1	1	3	3	3	1	2	3	5	1	1	4	5	2	-3	-3	4	2	3	1	1	1	2	2	-5	1	2	1	2	2	-5	2	-5	1	1	1	1	1	1	3	2	4	2	2	2	2	19	36	6	3	0	355	44	17	19	3	4	1	3	1	2	1	1	1	-5	1	2	1	3	5	0.36	3	10	1	2	2	2	2	6302007	3	3	1048	1012	4	1	2	2	4		1	52	2	51	1	26																			-3	4	3	2	4	1	14	8	11	4	15	13	9	3	6	10	12	2	7	5	16	3	2	0	0	2	2	4	4	4	3	2	1	1	3	1	6	7	7	7	4	7	7	4	6	7	-3	7	2	5	3	2	2	2	2	3	3	2	3	2	2	1	2	2	-3	4	4	1	49209	5133
23	23	1	1	1	9	0	2	2	1	6	1	-3	1	1	2	2	2	4	-3	-3	2	2	4	3	2	3	2	2	2	4	1	2	-3	1	3	2	2	3	1	3	3	2	3	2	2	2	1	4	2	2	1	2	4	1	3	4	4	-3	2	2	1	-3	1	2	2	-3	-3	2	4	3	3	-3	2	2	1	3	2	2	4	2	1	1	2	1	3	5		2	73	4	2	7	3	3	2	1	1	3	2	1	2	2	4	5	5	3	2	1	2	2	2	1	2	1	-3	2	1	2	2	2	1	4	-3	3	2	2	2	2	1	1	1	4	1	2	3	2	2	3	1	-3	1	1	1	1	2	2	1	2	1	3	3	3	1	-3	3	2	-3	2	3	1	5	2	3	-2	5	2	3	1	3	-5	3	2	-5	3	2	2	-5	3	2	2	-5	1	1	1	1	1	1	2	2	3	2	2	1	2	19	36	6	3	0	355	44	17	19	3	4	-3	3	3	2	7	1	1	-5	3	3	3	1	4	0.43	3	10	1	3	2	3	2	6302007	3	3	1756	1713	1	1	1	2	6				2	73																					3	1	3	1	5	2	10	11	5	16	12	13	8	9	1	4	15	3	7	6	14	2	2	0	6	2	2	2	4	4	2	3	1	1	3	4	6	7	6	-3	3	7	7	7	7	4	1	6	4	4	3	2	2	2	-3	3	2	2	3	3	3	1	2	4	2	1	1	2	31503	4115
24	24	1	1	1	10	0	2	2	5	1	5	-3	1	1	3	3	-3	4	4	3	3	3	3	-3	4	3	3	3	3	4	3	2	2	-3	-3	4	3	3	3	3	3	3	3	3	-3	2	1	2	2	1	1	2	3	4	3	4	3	3	2	2	1	1	1	4	3	4	4	2	3	3	3	2	1	3	2	4	3	4	4	1	1	1	2	5	4	5		2	36	1	2	7	1	1	2	2	1	3	3	2	1	2	2	3	3	3	2	2	2	2	2	2	3	1	3	3	3	3	3	-3	1	2	4	3	1	-3	1	1	1	-3	1	1	5	-5	3	-3	-3	-3	1	2	-3	1	-3	1	1	3	1	2	1	1	1	3	1	3	5	-3	4	3	-3	5	5	3	-3	-2	2	2	3	1	2	3	2	2	-5	-3	-5	1	1	2	-5	1	2	4	4	4	4	-3	4	3	2	3	2	1	3	2	22	42	7	4	0	375	59	20	25	2	20	1	1	3	3	1	1	1	3	3	3	2	2	3	0.35	7	10	1	2	2	2	2	6401002	4	2	1550	1515	2	1	1	1	6		1	37	2	36											2	9	1	7	1	4					1	3	3	2	3	2	13	9	6	10	16	7	12	11	1	4	5	3	14	8	15	3	2	2	0	2	2	2	2	3	-3	1	1	1	3	2	4	4	5	6	5	4	4	6	2	3	5	4	2	3	3	3	3	2	3	3	3	3	-3	2	3	-3	3	2	3	4	4	4	31701	5220
25	25	1	1	1	12	-5	4	4	1	3	4	2	4	4	1	1	2	4	4	4	3	4	3	4	3	2	1	2	2	4	2	2	2	3	2	4	2	4	2	2	4	2	2	2	1	2	2	3	2	2	1	2	3	2	4	4	4	3	3	2	1	1	2	4	4	2	3	2	4	3	3	2	3	2	3	2	3	4	3	2	-5	-5	2	3	1	9		2	47	5	5	-5	1	1	1	2	3	2	2	2	2	3	4	2	2	2	2	1	1	2	1	1	1	1	3	2	2	2	3	2	3	2	4	3	1	1	2	2	1	1	1	1	5	-5	8	3	3	1	1	4	2	2	2	4	2	2	2	3	2	2	3	3	3	3	4	4	2	4	4	2	2	4	4	-2	2	1	3	1	2	2	2	2	-5	1	2	2	-5	2	-5	2	-5	1	1	1	1	1	1	3	1	4	2	1	1	2	20	35	6	4	7	342	44	17	16	3	99	3	3	3	3	7	1	1	-5	3	3	2	4	2	0.34	4	10	1	2	1	1	1	6401002	1	2	2331	2257	1	2	1	1	6				2	47																					2	1	3	2	4	9	13	14	6	15	16	8	10	2	3	1	4	5	11	12	7	4	1	0	8	2	2	1	2	3	2	2	2	4	3	2	4	5	3	4	2	3	5	6	4	2	4	7	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	3	2	3	3	2	-5	-5
26	26	1	1	1	13	4	3	1	4	6	4	3	3	-3	2	-3	2	2	4	3	4	2	4	4	4	3	2	-3	2	3	4	-3	3	-3	4	4	-3	3	-3	3	-3	3	3	4	-3	2	2	2	2	2	2	2	4	2	3	3	3	-3	1	3	-3	-3	2	4	4	-3	-3	-3	-3	-3	-3	-3	3	2	3	3	-3	4	4	2	1	1	1	2	2	5		2	35	1	4	8	4	1	2	-3	-3	3	2	1	1	3	3	5	4	3	2	2	2	2	2	-3	4	2	2	3	-3	3	3	-3	-3	4	-3	3	1	1	1	1	1	1	4	3	3	3	3	-3	-3	2	2	-3	1	1	1	4	4	2	-3	3	2	2	1	3	1	3	5	4	4	4	5	5	4	5	3	-3	5	2	3	1	3	-5	1	2	-5	3	2	1	1	3	2	2	-5	-3	-3	3	-3	-3	-3	2	2	5	1	1	5	2	20	35	6	4	7	342	44	17	16	3	99	1	1	1	3	1	1	1	-5	1	3	3	3	4	0.32	2	10	1	3	1	2	3	6401002	2	3	1953	1921	4	1	1	1	6		1	34	2	35											1	10	1	7							2	4	3	2	5	3	11	7	4	9	15	8	14	5	2	1	13	10	12	6	16	4	2	0	0	4	3	2	3	4	4	2	1	2	3	3	6	6	-3	-3	3	4	6	8	4	-3	8	8	2	2	3	1	2	-3	-3	3	-3	2	1	3	-3	1	2	-3	2	-3	-3	2	11133	9132
27	27	1	1	1	10	2	2	5	4	2	4	-3	2	3	1	4	2	4	4	2	4	2	-3	2	3	3	4	5	4	-3	5	-3	-3	-3	-3	-3	-3	3	2	2	-3	-3	-3	-3	1	2	3	4	2	2	2	2	4	-3	2	2	-3	3	1	1	2	1	1	4	-3	-3	3	4	5	4	4	5	4	1	2	3	-3	3	2	1	-5	1	-3	1	3	1		1	30	1	2	8	4	2	2	2	3	3	3	1	3	2	3	4	2	3	2	2	1	1	1	1	2	1	2	2	2	1	3	2	1	4	3	3	2	1	2	2	1	1	3	1	4	-5	5	5	3	2	2	-3	1	1	1	4	3	3	1	3	2	1	3	3	3	1	2	3	5	2	3	2	5	2	4	15	4	2	3	3	2	2	2	2	-5	1	2	1	1	2	-5	3	1	1	1	3	4	3	4	3	2	4	2	2	2	2	20	35	6	4	7	342	44	17	16	3	99	2	3	1	2	2	1	1	40	1	3	2	4	1	0.53	11	10	1	2	2	2	3	6401002	2	3	2124	2031	2	2	1	1	6		1	30	2	29																					1	2	3	1	5	6	8	4	5	1	13	9	11	2	10	14	15	7	12	3	16	2	2	0	0	2	3	4	3	4	4	3	1	1	4	6	7	6	6	6	4	5	5	10	4	5	10	6	2	4	2	2	2	2	2	3	3	3	1	3	3	1	2	3	-3	3	4	3	31515	4222
28	28	1	1	1	13	0	2	4	3	3	3	3	3	1	1	3	3	4	5	5	3	3	3	2	3	2	3	3	4	4	2	1	3	2	2	4	1	3	3	3	3	3	2	2	2	2	1	3	2	2	1	2	1	2	5	5	5	2	2	2	1	1	1	2	4	2	4	2	3	3	3	2	3	2	2	5	2	4	2	1	-5	2	1	5	2	1		1	33	5	5	6	3	3	2	2	2	3	2	1	1	2	3	3	1	1	1	2	1	1	1	2	3	-3	3	2	3	2	3	3	1	4	3	2	1	1	1	1	2	2	4	1	5	-5	3	2	2	1	1	4	1	-3	-3	5	2	3	2	1	1	3	1	3	1	3	3	3	3	4	5	5	3	3	2	15	1	2	3	1	1	2	-3	2	-5	2	-5	1	2	2	-5	1	2	2	2	2	3	1	3	2	2	3	2	2	3	4	50	28	10	2	6	34	129	40	18	3	99	1	1	-3	3	8	2	-5	32	3	3	2	3	2	2.23	3	10	1	2	2	2	2	6401002	2	3	2156	1933	4	1	1	1	6		1	36																			1	33			2	3	3	2	3	3	12	9	14	7	16	11	13	2	8	4	10	6	5	1	15	4	3	0	0	2	2	1	3	4	2	1	2	4	2	6	7	-3	-3	8	6	6	7	7	3	-3	7	-3	2	2	3	-3	-3	2	2	3	3	-3	3	3	2	2	2	2	3	4	4	3	37208	5133
